procedimiento_quirurgico,surgical_procedure,count_orig,count_new
Other Procedures,Other Procedures,206,307
Vena cava inferior parche,inferior vena cava (IVC) closure,13,186
Cierre de Conducto Arterioso,Closure of patent ductus arteriosus (patent ductus arteriosus),97,101
Reparacion de Tetralogia de Fallot,Tetrallogy of Fallot repair  (Tetrallogy of Fallot)  ,57,90
Reparacion de arco aortico,Aortic arch repair,7,56
Procedimiento de Fontan,Total cavopulmonary connection (Fontan),21,54
Fistula sistemico pulmonar,Repair of systemic to pulmonary fistula / Blalock-Taussig,85,43
Reparacion de Canal AV,Atrioventricular canal correction ,33,40
Reparacion de conexion anomala de venas pulmonares,Total anomalous pulmonary venous connection TAPVC-PAPVC variants,78,39
Bandaje de la AP (arteria pulmonar),Pulmonary artery PA banding,23,26
"Plastia mitral / (válvula, hendidura, prótesis)",Mitral valve surgery ,21,25
Reparacion de estenosis aortica (reparacion-reseccion),Subvalvular aortic stenosis repair,11,24
Correccion de coartacion de aorta,Aortic coarctation repair (coarctation of the aorta)  ,55,23
Operacion switch arterial (Jatene),Jatene surgery,14,17
Reparacion de doble camara de ventriculo derecho,Double outlet right ventricule,10,16
Septectomia atrial ,Repair of atrial septal defect (Atrial Septal defects),64,13
Plastia de tronco y rama de la AP (arteria pulmonar),Arterial trunk total correction,11,6
anastomosis cavopulmonar bidireccional,Bidirectional cavopulmonary derivation,28,2
Cierre de defecto septal ventricular residual,Septal defect repair (ventricular septal defects),109,1
